NOMBRE,LINK
CORPORACION FAVORITA C.A.,https://ec.linkedin.com/company/corporacionfavorita?trk=companies_directory
ECUACORRIENTE,https://www.linkedin.com/company/ecuacorriente-s.a./
AURELIAN ECUADOR,https://www.linkedin.com/company/lundin-gold/?originalSubdomain=ec
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES CONECEL,https://ec.linkedin.com/company/conecel?trk=companies_directory
CORPORACION QUIPORT,https://ec.linkedin.com/company/quiport?trk=companies_directory
CORPORACION EL ROSADO,https://ec.linkedin.com/company/elrosado?trk=companies_directory
HIDALGO E HIDALGO,https://www.linkedin.com/company/grupo-hidalgo-e-hidalgo/
OTECEL,https://www.linkedin.com/company/movistarecuador/people/?facetGeoRegion=ec%3A0
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,https://ec.linkedin.com/company/pronaca?trk=companies_directory
INDUSTRIAL PESQUERA SANTA PRISCILA,https://ec.linkedin.com/company/santapriscilaec?trk=companies_directory
SCHLUMBERGER DEL ECUADOR,https://www.linkedin.com/company/schlumberger/people/?facetGeoRegion=ec%3A0&keywords=ecuador
HOLCIM ECUADOR,https://ec.linkedin.com/company/holcim-ecuador?trk=companies_directory
TIENDAS INDUSTRIALES ASOCIADAS TIA,https://ec.linkedin.com/company/almacenestia?trk=companies_directory
"UNION CEMENTERA NACIONAL, UCEM",https://ec.linkedin.com/company/union-cementera-nacional-s-a?trk=companies_directory
DPWORLD POSORJA,https://www.linkedin.com/company/dp-world/people/?facetGeoRegion=ec%3A0
LA FABRIL,https://ec.linkedin.com/company/la-fabril-s-a?trk=companies_directory
CERVECERIA NACIONAL CN,https://ec.linkedin.com/company/cervecerianacional?trk=companies_directory
ACERIA DEL ECUADOR CA ADELCA.,https://ec.linkedin.com/company/adelca?trk=companies_directory
ANDES PETROLEUM ECUADOR LTD.,https://www.linkedin.com/company/andes-petroleum-company/?originalSubdomain=ec
COMPANIA GENERAL DE COMERCIO Y MANDATO SOCIEDAD ANONIMA,https://www.linkedin.com/company/comandato-s-a/people/?facetGeoRegion=ec%3A0
DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE),https://ec.linkedin.com/company/grupo-difare?trk=companies_directory
EMPACADORA GRUPO GRANMAR EMPAGRAN,https://ec.linkedin.com/company/empagran?trk=companies_directory
SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS SA,https://ec.linkedin.com/company/sociedad-agr-cola-e-industrial-san-carlos-?trk=companies_directory
NEGOCIOS INDUSTRIALES REAL N.I.R.,https://ec.linkedin.com/company/negocios-industriales-real-nirsa-s-a?trk=companies_directory
REYBANPAC REY BANANO DEL PACIFICO C.L.,https://www.linkedin.com/company/reybanpac/?originalSubdomain=ec
ALMACENES DE PRATI SA,https://ec.linkedin.com/company/almacenes-de-prati-?trk=companies_directory
PTIE- PHOENIX TOWER INTERNATIONAL ECUADOR,https://www.linkedin.com/company/phoenix-tower-international/?originalSubdomain=ec
GISIS,https://ec.linkedin.com/company/gisis-s-a-?trk=companies_directory
INTERNATIONAL WATER SERVICES ( GUAYAQUIL ) INTERAGUA C. LTDA.,https://ec.linkedin.com/company/interagua-ec?trk=companies_directory
ENAP SIPETROL,https://www.linkedin.com/company/enap-sipetrol-s.a./?originalSubdomain=ec
ALMACENES JUAN ELJURI CIA. LTDA.,https://ec.linkedin.com/company/juaneljuri?trk=companies_directory
GERARDO ORTIZ E HIJOS C LTDA,https://www.linkedin.com/company/gerardo-ortiz-e-hijos/
SUDAMERICANA INTEGRAL DE CONSTRUCCIONES SUDINCO,https://www.linkedin.com/in/sudamericana-integral-de-construcciones-sudinco-s-a-85a505171/?originalSubdomain=ec
PLUSPETROL ECUADOR B.V.,https://www.linkedin.com/company/pluspetrol/?originalSubdomain=ec
CNPC CHUANQING DRILLING ENGINEERING COMPANY LIMITED,https://www.linkedin.com/company/cnpc-chuanqing-drilling-engineering-company-limited-ccdc-/?originalSubdomain=ec
HALLIBURTON LATIN AMERICA S.R.L.,https://www.linkedin.com/company/halliburton/?originalSubdomain=ec
CONTECON GUAYAQUIL,https://ec.linkedin.com/company/contecon-guayaquil?trk=companies_directory
OLEODUCTO DE CRUDOS PESADOS (OCP) ECUADOR,https://www.linkedin.com/company/ocp-ecuador/
MAQUINARIAS Y VEHICULOS MAVESA,https://ec.linkedin.com/company/grupo-mavesa?trk=companies_directory
OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA SA,https://ec.linkedin.com/company/omarsa-shrimp?trk=companies_directory
NOVACERO S.A,https://ec.linkedin.com/company/novacero-s-a-?trk=companies_directory
FARMACIAS Y COMISARIATOS DE MEDICINAS SA FARCOMED,https://www.linkedin.com/company/farmacias-y-comisariatos-de-medicinas-s.a/
COMERCIAL KYWI SA,https://ec.linkedin.com/company/comercial-kywi-s-a-?trk=companies_directory
LA GANGA R.C.A.,https://ec.linkedin.com/company/almacenes-la-ganga?trk=companies_directory
LETERAGO DEL ECUADOR S.A,https://ec.linkedin.com/company/leterago-del-ecuador-talento-humano?trk=companies_directory
AGROAZUCAR ECUADOR,https://ec.linkedin.com/company/corporaci%C3%B3n-azucarera-ecuatoriana-ingenio-la-troncal?trk=companies_directory
COMPANIA AZUCARERA VALDEZ SA,https://ec.linkedin.com/company/azucarera-valdez?trk=companies_directory
"AC BEBIDAS, S. DE R.L. DE C.V.",https://www.linkedin.com/company/arca-continental/people/?keywords=ecuador
NESTLE ECUADOR,https://www.linkedin.com/company/nestle-s-a-/people/?facetGeoRegion=ec%3A0
TELCONET,https://ec.linkedin.com/company/telconet?trk=companies_directory
INT FOOD SERVICES CORP,https://www.linkedin.com/company/gurpo-kfc-ecuador/?originalSubdomain=ec
HOTELES DECAMERON ECUADOR,https://www.linkedin.com/company/decameronhotels/people/?facetGeoRegion=ec%3A0
SUPERDEPORTE,https://ec.linkedin.com/company/explorer-ecuador.com?trk=companies_directory
GENERAL MOTORS DEL ECUADOR SA,https://www.linkedin.com/company/general-motors/people/?facetGeoRegion=ec%3A0&keywords=ecuador
INDUSTRIAS LACTEAS TONI SA,https://ec.linkedin.com/company/industriasl-l-cteas-toni?trk=companies_directory
SURPAPELCORP,https://www.linkedin.com/company/productora-cartonera-s.a./?originalSubdomain=ec
MARCIMEX,https://ec.linkedin.com/company/marcimex?trk=companies_directory
NOVOPAN DEL ECUADOR SA,https://ec.linkedin.com/company/novopan-per%C3%BA-sac?trk=companies_directory
IPAC S.A,https://www.linkedin.com/company/ipac-s.a./people/
IMPORTADORA TOMEBAMBA,https://ec.linkedin.com/company/importadora-tomebamba-s-a?trk=companies_directory
PRODUCTORA CARTONERA,https://ec.linkedin.com/company/productora-cartonera-s-a-?trk=companies_directory
INDUSTRIAS ALES CA,https://ec.linkedin.com/company/industrias-ales-c.a?trk=companies_directory
ECUAQUIMICA ECUATORIANA DE PRODUCTOS QUIMICOS CA,https://ec.linkedin.com/company/ecuaquimica?trk=companies_directory
SINOPEC INTERNATIONAL PETROLEUM SERVICE ECUADOR,https://ec.linkedin.com/company/sinopec-international-petroleum-service-ecuador?trk=companies_directory
CRECOSCORP,https://ec.linkedin.com/company/grupo-crecos?trk=companies_directory
CARTONES NACIONALES I CARTOPEL,https://ec.linkedin.com/company/cartopel-sai?trk=companies_directory
UNICOMER DE ECUADOR,https://www.linkedin.com/company/grupo-unicomer/people/?facetGeoRegion=ec%3A0
BEBIDAS ARCACONTINENTAL ECUADOR ARCADOR,https://ec.linkedin.com/company/arcacontinentalec?trk=companies_directory
SERVICIOS DE TELECOMUNICACIONES SETEL S.A,https://www.linkedin.com/company/setel-s.a./
IASA,https://www.linkedin.com/company/iasaglobal/?originalSubdomain=ec
FABRICA DE ENVASES FADESA,https://ec.linkedin.com/company/fadesa?trk=companies_directory
INDUSTRIAL DANEC SA,https://ec.linkedin.com/company/industrial-danec-s-a?trk=companies_directory
HOLDING TONICORP,https://www.linkedin.com/company/tonicorp/?originalSubdomain=ec
AUTOMOTORES Y ANEXOS (A.Y.A.),https://ec.linkedin.com/company/automotores-y-anexos-s-a-?trk=companies_directory
PAPELERA NACIONAL SA,https://ec.linkedin.com/company/papelera-nacional-s-a-?trk=companies_directory
UNILEVER ANDINA ECUADOR,https://www.linkedin.com/company/unilever/people/?facetGeoRegion=ec%3A0&keywords=ecuador
CONSENSOCORP,https://www.linkedin.com/company/grupoconsenso/
INDUGLOB S. A.,https://www.linkedin.com/company/indurama/?originalSubdomain=ec
CONTINENTAL TIRE ANDINA S. A.,https://www.linkedin.com/company/continental/people/?facetGeoRegion=ec%3A0
AB INBEV HOLDING ECUADOR AB-INBEV S.,https://www.linkedin.com/company/cervecerianacional/?originalSubdomain=ec
INDUSTRIAL MOLINERA CA,https://ec.linkedin.com/company/industrial-molinera?trk=companies_directory
FARMAENLACE CIA. LTDA,https://ec.linkedin.com/company/farmaenlance?trk=companies_directory
PRIMAX COMERCIAL DEL ECUADOR SOCIEDAD ANONIMA,https://ec.linkedin.com/company/primax-s.a?trk=companies_directory
EUROFISH,https://ec.linkedin.com/company/eurofish-s-a?trk=companies_directory
FERTISA AGIF C.L.,https://ec.linkedin.com/company/fertisa-agif-cl?trk=companies_directory
SALICA DEL ECUADOR,https://ec.linkedin.com/company/salica-del-ecuador-s-a?trk=companies_directory
ICESA,https://ec.linkedin.com/company/icesa-?trk=companies_directory
CASABACA,https://ec.linkedin.com/company/casabaca-?trk=companies_directory
ALESSA,https://ec.linkedin.com/company/alessa?trk=companies_directory
ALESSA,https://ec.linkedin.com/company/alessa-s-a?trk=companies_directory
CONAUTO C.A.,https://ec.linkedin.com/company/conauto-c-a-?trk=companies_directory
NEFROCONTROL,https://ec.linkedin.com/company/nefrocontrol-s-a-?trk=companies_directory
ASISERVY,https://ec.linkedin.com/company/asiservy-s-a?trk=companies_directory
PICA PLASTICOS INDUSTRIALES CA,https://ec.linkedin.com/company/pica-plasticos-industriales-ca?trk=companies_directory
ELECTROCABLES C.A.,https://ec.linkedin.com/company/electrocables-c-a?trk=companies_directory
DITECA,https://ec.linkedin.com/company/ditecakomatsu?trk=companies_directory
INDEUREC,https://ec.linkedin.com/company/indeurec-?trk=companies_directory
TECNOMEGA C.A.,https://ec.linkedin.com/company/tecnomega-c-a-?trk=companies_directory
LIMBOMAR,https://ec.linkedin.com/company/limbomar-?trk=companies_directory
COFIMAR,https://ec.linkedin.com/company/cofimarec?trk=companies_directory
